,Continent
ALB.17,Europe
AUT.70,Europe
BGR.66,Europe
CHE.67,Europe
CHN.64,Asia
CZE.23,Europe
DEU.27,Europe
DNK.71_RA,Europe
DNK.71_RD,Europe
DNK.71_RL,Europe
ESP.75,Europe
FIN.25,Europe
GEO.59,Europe
HRV.68,Europe
HUN.61,Europe
IND.11,Asia
IRL.69,Europe
ISL.28,Europe
ITA.30,Europe
KAZ.6,Asia
LKA.40,Asia
LUX.32,Europe
LVA.31,Europe
MDA.65,Europe
MKD.62,Europe
MLT.63,Europe
MYS.54,Asia
NLD.43,Europe
NOR.34,Europe
NPL.33,Asia
PAK.7,Asia
POL.36,Europe
SGP.52,Asia
SRB.37,Europe
SVK.9,Europe
SVN.38,Europe
SWE.41,Europe
SWE.41a,Europe
VNM.48,Asia
XK.60,Europe
